action,file,mos,bucket
KEEP,preprocess/NOR4xp25_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/NOR4xp75_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/NOR5xp2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/O2A1O1Ixp33_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/O2A1O1Ixp5_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OA211x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OA21x2_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OA221x2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/OA222x2_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/OA22x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OA31x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OA331x1_ASAP7_75t_R.json,16,16-20
KEEP,preprocess/OA331x2_ASAP7_75t_R.json,16,16-20
KEEP,preprocess/OA332x1_ASAP7_75t_R.json,18,16-20
KEEP,preprocess/OA332x2_ASAP7_75t_R.json,18,16-20
KEEP,preprocess/OA333x1_ASAP7_75t_R.json,20,16-20
KEEP,preprocess/OA333x2_ASAP7_75t_R.json,20,16-20
KEEP,preprocess/OA33x2_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/OAI211xp5_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OAI21x1_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/OAI21xp33_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/OAI21xp5_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/OAI221xp5_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OAI222xp33_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/OAI22x1_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OAI22xp33_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OAI22xp5_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OAI311xp33_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OAI31xp33_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OAI31xp67_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OAI321xp33_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/OAI322xp33_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/OAI32xp33_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OAI331xp33_ASAP7_75t_R.json,14,10-15
KEEP,preprocess/OAI332xp33_ASAP7_75t_R.json,16,16-20
KEEP,preprocess/OAI333xp33_ASAP7_75t_R.json,18,16-20
KEEP,preprocess/OAI33xp33_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/OR2x2_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/OR2x4_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/OR2x6_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/OR3x1_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OR3x2_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OR3x4_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/OR4x1_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OR4x2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/OR5x1_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/OR5x2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/SDFHx1_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/SDFHx2_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/SDFHx3_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/SDFHx4_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/SDFLx1_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/SDFLx2_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/SDFLx3_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/SDFLx4_ASAP7_75t_R.json,32,31-50
KEEP,preprocess/XNOR2x1_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/XNOR2x2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/XNOR2xp5_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/XOR2x1_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/XOR2x2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/XOR2xp5_ASAP7_75t_R.json,10,10-15
